id,sentence,label,sentence_length
51,Jerry takes a tissue from the rolodex to keep in touch with Tom,0,13
52,pictures can be kept on films temporarily,1,7
52,pictures can be kept on films eternally,0,7
53,we use a handsaw to cut wood,1,7
53,we use a penknife to cut wood,0,7
54,human beings can travel to the moon by spacecraft,1,9
54,human beings can travel to the moon by bus,0,9
55,she is happy to play with her friends,1,8
55,she is sad to play with her friends,0,8
56,smartphones nowadays are huge,0,4
56,smartphones nowadays are small,1,4
57,we took television sets to commemorate important days,0,8
57,we took photos to commemorate important days,1,7
59,he turns on the radio to listen to music,1,9
59,he turns on the light to listen to music,0,9
60,Lily opened the window to let some fresh air in,1,10
60,Lily opened the wall to let some fresh air in,0,10
61,a giant panda is a black and white mammal found in Asia,1,12
61,a giant panda is a black and white bird found in Asia,0,12
62,people put on summer dresses when summer comes,1,8
62,people put on summer dresses when winter comes,0,8
64,a power socket has a copper housing for safety,0,9
64,a power socket has a plastic housing for safety,1,9
65,it takes him an hour to tear himself apart,0,9
65,it takes him an hour to clean himself up,1,9
66,i write a letter to tell her i am fine,1,10
66,i rip a letter to tell her i am fine,0,10
67,a dining room is a place where people sleep,0,9
67,a dining room is a place where people eat,1,9
68,he breaks the iron board with a bare hand,0,9
68,he breaks the wooden board with a bare hand,1,9
69,supermarkets cut down prices for a year-end clearance,1,8
69,supermarkets rise prices for a year-end clearance,0,7
71,he is so famous that everybody has heard of him,1,10
71,he is so famous that nobody has heard of him,0,10
73,there are many aquatic plants in the pond,1,8
73,there are many trees in the pond,0,7
75,we stopped at the power plant because we needed gasoline,0,10
75,we stopped at the filling station because we needed gasoline,1,10
76,Lily goes to the cinema to watch a movie,1,9
76,Lily goes to the cinema to listen to a concert,0,10
77,centigrade is a measure of acidity,0,6
77,centigrade is a measure of temperature,1,6
79,the fire was caused by a lighted cigarette,1,8
79,the fire was caused by a glass of water,0,9
80,December is the 12th month of a year,1,8
80,December is the 13th month of a year,0,8
81,a prince is a piece used in the game of chess,0,11
81,a king is a piece used in the game of chess,1,11
82,maid is an important member of a family,0,8
82,mother is an important member of a family,1,8
83,he opens the door with a lock,0,7
83,he opens the door with a key,1,7
85,a rooster can lay eggs,0,5
85,a hen can lay eggs,1,5
86,farmers are growing mushrooms under the sun,0,7
86,farmers are growing crops under the sun,1,7
88,soup is best eaten with a spoon,1,7
88,soup is best eaten with a fork,0,7
91,nissan is a foreign plane manufacturer,0,6
91,nissan is a foreign car manufacturer,1,6
92,food is stored in the pan,0,6
92,food is stored in the fridge,1,6
93,the image of the cat seems to be reflected many times in the mirror,1,14
93,the image of the cat seems to be reflected many times in the glass,0,14
95,laughter is a sign of joy,1,6
95,laughter is a sign of sorrow,0,6
96,Mary sits at the closet and begins reading,0,8
96,Mary sits at the desk and begins reading,1,8
98,he climbs up the mountain with the help of a rope,1,11
98,he climbs up the mountain with the help of a ribbon,0,11
100,i put some chili powder to create a sweet flavor,0,10
100,i put some chili powder to create a spicy flavor,1,10
101,Bob looks up a word in a dictionary,1,8
101,Bob looks up a word in a shopping list,0,9
103,people usually work on Sundays,0,5
103,people usually rest on Sundays,1,5
104,Santa Claus pretends to be a parent to give children presents,0,11
104,parents pretend to be Santa Claus to give children presents,1,10
105,he buys something to eat from the convenient store,1,9
105,he sells something to eat to the convenient store,0,9
106,he gives the driver a gift to thank him for a free ride,1,13
106,he killed the driver to thank him for a free ride,0,11
107,she feels ill and goes to see a doctor,1,9
107,she feels ill and goes to see a teacher,0,9
108,i buy a CD to listen to the latest songs,1,10
108,i buy a CD to listen to the latest advertisements,0,10
109,it takes me 3 seconds to read the book,0,9
109,it takes me 3 days to read the book,1,9
111,he runs faster than no one and wins the champion,0,10
111,he runs faster than everyone and wins the champion,1,9
112,i wear a wristwatch to be informed of the time,1,10
112,i wear a belfry to be informed of the time,0,10
113,a bird beats its wings and flies off,1,8
113,a plane beats its wings and flies off,0,8
114,Jim invites Amy to dance in a pool,0,8
114,Jim invites Amy to dance in a ball,1,8
115,people lived in houses made of wood in the past,1,10
115,people lived in houses made of wool in the past,0,10
116,it is sunny so they go camping,1,7
116,it is rainy so they go camping,0,7
117,the regular meeting is held at 2 o'clock in the morning,0,11
117,the regular meeting is held at 2 o'clock in the afternoon,1,11
118,"cool the drink with some ice, please",1,7
118,"heat the drink with some ice, please",0,7
120,he catches a subway train in a subway stop,1,9
120,he catches a subway train in a bus stop,0,9
123,he had his hair cut at the barber's,1,8
123,he had his hair cut at the butcher's,0,8
124,i drink some glass,0,4
124,i drink some water,1,4
125,Tim and Mary got married on January 31st,1,8
125,Tim and Mary got married on February 31st,0,8
126,she writes diaries in a magazine,0,6
126,she writes diaries in a notebook,1,6
127,the girl next to Mary in the photo is her nephew,0,11
127,the boy next to Mary in the photo is her nephew,1,11
128,i spend a dollar to buy a diamond ring,0,9
128,i spend a thousand dollars to buy a diamond ring,1,10
129,Cinderella lives a hard life before she meets the prince,1,10
129,Cinderella lives a happy life before she meets the prince,0,10
131,Obama has served as President of the USA for twelve years,0,11
131,Obama has served as President of the USA for eight years,1,11
132,children like flying kites in the spring,1,7
132,children like flying planes in the spring,0,7
133,people must have a passport to travel abroad,1,8
133,people must have a driver's license to travel abroad,0,9
134,it is snowy and very hot outside,0,7
134,it is snowy and very cold outside,1,7
135,the car stops at the green light,0,7
135,the car stops at the red light,1,7
136,people put on clothes when they feel cold,1,8
136,people take off clothes when they feel cold,0,8
137,Trump was Emperor of the USA in 2018,0,8
137,Trump was President of the USA in 2018,1,8
138,he puts the radio next to his mouth to hear more clearly,0,12
138,he puts the radio next to his ear to hear more clearly,1,12
139,he is fined for vandalizing cultural heritages,1,7
139,he is honored for vandalizing cultural heritages,0,7
140,i buy a toy for my small brother for a shell,0,11
140,i buy a toy for my small brother for a dollar,1,11
141,they have to live in a mansion because of poverty,0,10
141,they have to live in a loft because of poverty,1,10
142,it is a pity that she only comes the second in the competition,1,13
142,it is a pity that she only comes the first in the competition,0,13
143,they get out of an air-raid shelter to avoid bombs,0,10
143,they go down to an air-raid shelter to avoid bombs,1,10
144,the Taj Mahal is made of white marbles,1,8
144,the Taj Mahal is made of white maples,0,8
146,Stephen William Hawking was a great actor,0,7
146,Stephen William Hawking was a great scientist,1,7
147,it is really painful for a mother to give birth to her baby,1,13
147,it is really painful for a father to give birth to his baby,0,13
148,they sleep in a hotel while camping in the forest,0,10
148,they sleep in a tent while camping in the forest,1,10
149,i water my mp3 player two times a week,0,9
149,i charge my mp3 player two times a week,1,9
150,Mongolia is mass surrounded by water,0,6
150,the UK is mass surrounded by water,1,7
152,Tim buys a lock to prevent his bike from being stolen,1,11
152,Tim buys a pair of socks to prevent his bike from being stolen,0,13
153,the doctor treats his patients carefully,1,6
153,the cook treats his patients carefully,0,6
154,the Titanic struck an iceberg and sank,1,7
154,the Titanic struck a life buoy and sank,0,8
155,he paints the ceiling with cola,0,6
155,he paints the ceiling with paints,1,6
156,she writes to her pen pal because they cannot meet each other,1,12
156,she writes to her pen pal because they meet each other every day,0,13
157,a lemon tastes sour when it goes bad,0,8
157,milk tastes sour when it goes bad,1,7
159,she is cut by a knife accidentally,1,7
159,she is cut by a carpet accidentally,0,7
160,i use scissors to cut paper cuts,1,7
160,i use pencils to cut paper cuts,0,7
161,people burnt ice for warmth th the past,0,8
161,people burnt coals for warmth in the past,1,8
162,Tony gives his girlfriend chocolates to propose,1,7
162,Tony gives his girlfriend chocolates to break up,0,8
163,she brings an umbrella because of the rain,1,8
163,she brings a scarf because of the rain,0,8
164,i will pick you up at the bus stop,1,9
164,i will pick you up on the CD disk,0,9
165,we had lunch together on March 33rd,0,7
165,we had lunch together on March 31st,1,7
166,he practices running on the playground every morning,1,8
166,he practices running on noodles every morning,0,7
167,the dog sits there without even a woof,1,8
167,the dog sits there without even a mew,0,8
168,he walks in from the wall,0,6
168,he walks in from the door,1,6
169,she rides a bike to work,1,6
169,she rides a chair to work,0,6
170,he writes his homework on the dew,0,7
170,he writes his homework on the notebook,1,7
171,a rabbit likes eating meat,0,5
171,a rabbit likes eating carrots,1,5
174,i cut a piece of cloth with chopsticks,0,8
174,i cut a piece of cloth with scissors,1,8
175,Mary adds some detergent to her bread,0,7
175,Mary adds some butter to her bread,1,7
176,i am preparing for the trip tomorrow,1,7
176,i am preparing for the trip yesterday,0,7
177,i begin walking as soon as the light turns green,1,10
177,i begin walking as soon as the light turns purple,0,10
178,i drink coke with a chopstick,0,6
178,i drink coke with a straw,1,6
179,the cat enjoys playing knitting wool,1,6
179,the knitting wool enjoys playing cats,0,6
180,she takes attractive selfies with her smartphone,1,7
180,she takes attractive selfies with her headphone,0,7
181,i buy a boyfriend for my sister,0,7
181,i buy a ring for my sister,1,7
182,His father got angry because he failed the math exam,1,10
182,His father got excited because he failed the math exam,0,10
183,I go to the museum to see paintings painted by famous artists,1,12
183,I go to the museum to get my clothes cleaned,0,10
184,Bob bought chocolate for his enemy on Valentine's Day,0,9
184,Bob bought chocolate for his girl friend on Valentine's Day,1,10
185,French fries are made of potatoes,1,6
185,French fries are made of oranges,0,6
186,Mars is the most suitable homeland for human beings,0,9
186,Earth is the most suitable homeland for human beings,1,9
187,Harry jumps high to throw the basketball into the basket,1,10
187,Harry stoops down to throw the basketball into the basket,0,10
188,I'm thirsty so I drink freshwater,1,6
188,I'm thirsty so I drink seawater,0,6
189,Alice is running on a playground,1,6
189,Alice is running on the sea,0,6
191,Maria coughs when she breathes in fresh air,0,8
191,Maria coughs when she breathes in haze,1,7
192,African lions enjoy eating grass,0,5
192,African lions enjoy eating meat,1,5
194,Bears stay in caves during hibernation,1,6
194,Bears stay underwater during hibernation,0,5
195,Alice go to the bathroom for repletion,0,7
195,Alice go to the bathroom for excretion,1,7
196,I went underwater and held my breath,1,7
196,I went underwater and took a deep breath,0,8
197,Dogs can feed blood to their young ones,0,8
197,Dogs can feed milk to their young ones,1,8
199,Jack can read books before learning basic words,0,8
199,Jack can read books after learning basic words,1,8
200,Kids fly kites in a windless day,0,7
200,Kids fly kites in a windy day,1,7
201,People get together to celebrate on Christmas Eve,1,8
201,People get together to fight on Christmas Eve,0,8
202,Jason put a tea bag into his cup to make a cup of coffee,0,14
202,Jason put a tea bag into his cup to make a cup of tea,1,14
203,Harry feels grieved seeing his old friends,0,7
203,Harry feels pleased seeing his old friends,1,7
204,Gloria determines to lose weight so she eats less,1,9
204,Gloria determines to lose weight so she eats more,0,9
205,"Saying ""Goodbye"", he walked out of the classroom and went home",1,11
205,"Saying ""Hello"", he walked out of the classroom and went home",0,11
206,Danis put his clothes into the washing machine,1,8
206,Danis put his smartphone into the washing machine,0,8
207,Billy rides a horse to cross the bridge,1,8
207,Billy rides an ant to cross the bridge,0,8
208,Bell takes a raft rushing down the waterfall,1,8
208,Bell takes a raft rushing up the waterfall,0,8
209,George put a broom in his mouth to brush teeth,0,10
209,George put a toothbrush in his mouth to brush teeth,1,10
210,I closed my mouth against the bright light,0,8
210,I closed my eyes against the bright light,1,8
211,My heart beats slower when I quicken my pace,0,9
211,My heart beats faster when I quicken my pace,1,9
212,Bob plays basketball with his cute dog,0,7
212,Bob plays frisbee with his cute dog,1,7
213,Fitz uses a pen to open the lock,0,8
213,Fitz uses a key to open the lock,1,8
214,Frank had s stomachache so he drank more cold water,0,10
214,Frank had a stomachache so he drank more hot water,1,10
215,Eric told a lie and his mother praised him,0,9
215,Eric told a lie and his mother scolded him,1,9
216,Henry flew to the USA sitting in a car,0,9
216,Henry flew to the USA sitting in an airplane,1,9
217,Carter opened the window of the airplane to get some fresh air,0,12
217,Carter opened the ventilator of the airplane to get some fresh air,1,12
220,"When you smile at others, they will smile at you",1,10
220,"When you smile at others, they will cry to you",0,10
221,"His favorite color is purple, the same color as the sky",0,11
221,"His favorite color is blue, the same color as the sky",1,11
222,Jenny ordered a hot dog in a pet store,0,9
222,Jenny ordered a hot dog in a restaurant,1,8
223,I dried my hair before using shampoo,0,7
223,I wet my hair before using shampoo,1,7
224,The man in black cured him with a bullet,0,9
224,The man in black killed him with a bullet,1,9
225,She boiled the egg and the egg turned into liquid,0,10
225,She boiled the egg and the egg turned into solid,1,10
226,Elisa was terrified bitten by a snake,1,7
226,Elisa was terrified bitten by a book,0,7
228,Atlantic is the biggest continent in the world,0,8
228,Asia is the biggest continent in the world,1,8
229,"The cat is sitting on the blanket, because she is warm",0,11
229,"The cat is sitting on the blanket, because it is warm",1,11
231,Human will starve to death without eating,1,7
231,Human will get eventually out of power if they are unplugged,0,11
232,She decided to eat more healthy foods like hamburgers,0,9
232,She decided to eat more healthy foods like vegetables,1,9
234,Chloe got distracted when she was bored,1,7
234,Chloe got concentrated when she was bored,0,7
235,He got a cold and coughed from time to time,1,10
235,He got a cold and laughed from time to time,0,10
236,Mark ate a big bitter cherry pie,0,7
236,Mark ate a big sweet cherry pie,1,7
237,Gloria wears a hat on her head,1,7
237,Gloria wears a cat on her head,0,7
238,Harry went to the barbershop to have his hair cut,1,10
238,Harry went to the barbershop to have his glasses repaired,0,10
239,Reilly is sleeping on the couch,1,6
239,Reilly is sleeping on the window,0,6
240,I have a lamp on my desk,1,7
240,I have a desk on my lamp,0,7
241,Eric stalled for a while so we ended up late,1,10
241,Eric stalled for a while so we ended up early,0,10
242,Mark called his friends with his telephone,1,7
242,Mark called his friends with his pencil,0,7
243,My friend is cooking a meal on a stove,1,9
243,My friend is cooking a meal on a stone,0,9
244,Riko made a cup of banana milkshake with apples and milk,0,11
244,Riko made a cup of banana milkshake with bananas and milk,1,11
245,My mother was preparing breakfast when I woke up in the morning,1,12
245,My mother was preparing dinner when I woke up in the morning,0,12
246,Mike drank too much wine so he feels sleepy now,1,10
246,Mike drank too much wine so he feels sober now,0,10
247,My mother went to a dentist to check her teeth,1,10
247,My mother went to an artist to check her teeth,0,10
248,Mike cried after hearing an interesting joke,0,7
248,Mike laughed after hearing an interesting joke,1,7
249,She sharpened the pencil with a knife,1,7
249,She sharpened the pencil with an eraser,0,7
252,Harry was terrified because of the nightmare,1,7
252,Harry was relaxed because of the nightmare,0,7
253,Astrid kissed him out of pure love,1,7
253,Astrid kissed him out of pure hatred,0,7
254,His son took the school bus to go to school,1,10
254,His son took the school bus to go to work,0,10
255,Throwing stones at cats is treating them badly,1,8
255,Throwing stones at cats is treating them nicely,0,8
256,Society demands reward for criminals,0,5
256,Society demands penalty for criminals,1,5
257,He saw a car floating at sea,0,7
257,He saw a ship floating at sea,1,7
258,People can buy apples at a fruit shop,1,8
258,People can buy potatoes at a fruit shop,0,8
259,I should take off my trousers when swimming,1,8
259,I should take off my underpants when swimming,0,8
261,I choked on water,0,4
261,I choked on rice,1,4
265,I study five days a week,1,6
265,I study eight days a week,0,6
266,I see a student chatting with my son,1,8
266,I see a mute chatting with my son,0,8
269,I saw an egg walk on the road,0,8
269,I saw a chick walk on the road,1,8
270,a tiger is probable to beat a dog,1,8
270,a dog is probable to beat a tiger,0,8
271,I go to school with a laptop,1,7
271,I go to school with a desktop computer,0,8
272,now I plan to sleep so I take a coffee,0,10
272,now I plan to sleep so I go to bed,1,10
273,I travel to the united states by plane,1,8
273,I travel to the united states by rocket,0,8
275,I want to have light food such as steaks,0,9
275,I want to have light food such as potatoes,1,9
276,I like swimming in the river,1,6
276,I like swimming in the hole,0,6
278,a snowman will exist forever,0,5
278,a snowman won't exist forever,1,5
279,I like his toy so I can grab it,0,9
279,I like his toy but I can't grab it,1,9
280,patients are cured by nurses,0,5
280,patients are cured by doctors,1,5
281,teachers can help you do homework,1,6
281,flowers can help you do homework,0,6
282,we should eat more sugar to protect teeth,0,8
282,we should eat less sugar to protect teeth,1,8
283,we should take the ice when we catch a cold,0,10
283,we should take medicine when we catch a cold,1,9
284,in winter people wear more clothes than in summer,1,9
284,in summer people wear more clothes than in winter,0,9
285,we can skate on snow,0,5
285,we can skate on the ice,1,6
286,we can eat dirt,0,4
286,we can't eat dirt,1,4
287,mobile phones don't need charging,0,5
287,mobile phones need charging,1,4
288,if we are going to be late we should walk,0,10
288,if we are going to be late we should run,1,10
289,you can go to the moon by rocket,1,8
289,you can go to the moon by subway,0,8
290,I see a boy playing a computer,1,7
290,I see a dog playing a computer,0,7
291,we have a snowball fight in winter,1,7
291,we have an ice ball fight in winter,0,8
295,Everyone needs to eat,1,4
295,Someone can live who don't eat anything,0,7
296,An owl can see on a dark night,1,8
296,A man can see on a dark night,0,8
297,It is always cold in January in the northern earth,1,10
297,It is always cold in July in the northern earth,0,10
298,"To get a service or good, you don't have to pay money",0,12
298,"To get a service or good, you should pay money",1,10
300,people can feel pain,1,4
300,people can only feel happiness,0,5
301,Fish can live in a land without water,0,8
301,Fish need water to live,1,5
302,Computers can eat food,0,4
302,Computers are powered by electricity,1,5
303,Everyone lives in the country,0,5
303,Some people live in the country,1,6
304,People are able to cheat,1,5
304,people are only able to be honest,0,7
305,If you want to dig a hole then you should use a shovel,1,13
305,If you want to dig a hole then you should use the spoon,0,13
306,Soldiers will be punished for bravery,0,6
306,Soldiers can get medals for bravery,1,6
307,Families shouldn't visit relatives during the holidays,1,7
307,Families should visit relatives during the workdays,0,7
309,Everyone is good-looking,0,3
309,Most people want to be good-looking,1,6
310,many vegetables grow on the cement,0,6
310,many vegetables grow on the ground,1,6
312,a Cord can be used for treatment,0,7
312,a Cord can be used for tying things together,1,9
314,A bus takes passengers from a bus stop,1,8
314,A bus takes passengers from the sea,0,7
315,Ireland is a country,1,4
315,Ireland is a planet,0,4
317,Oil comes from the air,0,5
317,Oil comes from the ground,1,5
318,Planes are almost made of gold,0,6
318,Planes are almost made of aluminum,1,6
319,you can find aliens in a zoo,0,7
319,you can find zebras in a zoo,1,7
320,You would sleep because you want to rest,1,8
320,You would dance because you want to rest,0,8
321,If you want to go to school then you should pay your fees,1,13
321,If you want to go to work then you should pay your fees,0,13
322,I see a cat eating a fish,1,7
322,I see a sheep eating a fish,0,7
323,My dad's dad is my grandma,0,6
323,My dad's dad is my grandpa,1,6
325,we can buy fresh fruits and vegetables from a Coffee shop,0,11
325,we can buy fresh fruits and vegetables from a grocer,1,10
327,most birds include penguins can fly,0,6
327,most birds other than penguins can fly,1,7
328,I will feel energetic after running,0,6
328,I will feel hungry after running,1,6
330,people feel pleasure while kissing,1,5
330,people feel sick while kissing,0,5
331,I don't like climbing because I fear of heights,1,9
331,I like climbing because I fear of heights,0,8
332,people usually eat ice cream in summer,1,7
332,people usually eat ice cream in winter,0,7
333,we wear thick clothes in winter,1,6
333,we wear thin clothes in winter,0,6
336,people usually use wood to put out a fire,0,9
336,people usually use water to put out a fire,1,9
338,people will get dry while taking a shower,0,8
338,people will get wet while taking a shower,1,8
341,most of the leaves are red,0,6
341,most of the leaves are green,1,6
342,I will celebrate the failure of the game,0,8
342,I will celebrate the victory of the game,1,8
343,I will have a trip to a police office,0,9
343,I will have a trip to a theme park,1,9
344,I should sleep at night,1,5
344,I should study during whole night,0,6
347,Today I will have lunch before breakfast.,0,7
347,Today I will have breakfast before lunch.,1,7
349,I saw a round pizza.,1,5
349,I saw a square pizza.,0,5
350,I saw an island on land.,0,6
350,I saw an island in the sea.,1,7
351,I have free access to some museums with tickets,1,9
351,I have free access to all museums without tickets,0,9
353,People hate diseases.,1,3
353,People like diseases.,0,3
354,My brother is my family member,1,6
354,My friend is my family member,0,6
355,I can use the money to buy some houses,1,9
355,I can use the money to buy all houses,0,9
356,dogs are animals,1,3
356,a stone is an animal,0,5
357,We communicate in the same language,1,6
357,We communicate in different languages,0,5
358,dogs like eating meat,1,4
358,Dogs like eating grass,0,4
359,I saw a man wearing glasses of two lens.,1,9
359,I saw a man wearing glasses of three lens,0,9
360,I will cry if my family is dead,1,8
360,I will laugh if my family is dead,0,8
361,a Man should not play with violent tigers,1,8
361,a Man should play with violent tigers,0,7
363,I am unhappy because I am poor,1,7
363,I am happy because I am poor,0,7
365,He walks faster than the driving car.,0,7
365,He walks more slowly than the driving car,1,8
366,today I will go to the amusement park to see elephants.,0,11
366,today I will go to the zoo to see the elephants,1,11
368,"She likes flowers, so I send her roses.",1,8
368,"She doesn't like flowers, so I send her roses.",0,9
370,He lay under the apple tree.,1,6
370,He lay under the watermelon tree,0,6
371,today I will go to my hometowns,0,7
371,today I will go to my hometown,1,7
372,My blood type is the same as some people.,1,9
372,My blood type is the same as everyone.,0,8
374,He is a hunter afraid of little animals.,0,8
374,He is a hunter of hunting animals,1,7
375,I use computers to play computer games.,1,7
375,I use calculators to play computer games.,0,7
376,I have a light bulb emitting black light.,0,8
376,I have a light bulb emitting red light,1,8
377,some people teach monkey acrobatics,1,5
377,some monkeys teach human acrobatics,0,5
378,If you want to take a walk then you should wear shoes,1,12
378,If you want to take a walk then you should wear a hat,0,13
379,If you want to make people laugh then you can tell a joke,1,13
379,If you want to make people laugh then you can hit them,0,12
380,I use the refrigerator to keep food.,1,7
380,I use the refrigerator to cook food.,0,7
381,I should learn math in my school,1,7
381,I should play games at my school,0,7
382,He put the stone in his hand.,1,7
382,He put the fire in his hand.,0,7
383,you may always find a computer user in a wine bar,0,11
383,You may find a computer user in a computer lab,1,10
384,people can surf on the water.,1,6
384,people usually sleep on the water.,0,6
385,If you want to walk on the street then you should have money,0,13
385,If you want to go to a restaurant then you should have money,1,13
386,Pushing a bike requires much strength,0,6
386,Pushing a car requires much strength,1,6
387,Ennui would make you want to see a film,1,9
387,Ennui would make you become happy,0,6
388,Something you find at a house is a fighter plane,0,10
388,Something you find at a military base is a fighter plane,1,11
389,A baby can fix a computer,0,6
389,an adult can fix a computer,1,6
391,blind people can watch nothing,1,5
391,Blind people can watch the TV,0,6
392,A child will be a child forever,0,7
392,A child can become an adult,1,6
396,If you want to read a book then you should get it from the library,1,15
396,If you want to read a book then you should get it from the restaurant,0,15
398,Something that might happen when you diminish your own hunger is eat,1,12
398,Something that might happen when you diminish your own hunger is taking exercise,0,13
399,Something you find in the home is actors,0,8
399,Something you find at a movie is actors,1,8
400,Going on strike is for winning concessions from employers,1,9
400,Going on strike is for having fun,0,7
404,His hair is getting shorter after a haircut,1,8
404,His hair is getting longer after a haircut,0,8
407,People usually eat fresh bread,1,5
407,People usually eat moldy bread,0,5
409,He is a thrifty man and he often wastes food,0,10
409,He is a wasteful man and he often wastes food,1,10
410,He was very energetic because he stayed up late last night,0,11
410,He was very tired because he stayed up late last night,1,11
411,he goes to the cinema to watch animals,0,8
411,he goes to the cinema to watch movies,1,8
412,students usually play their mobile phones in class time,0,9
412,students usually listen to their teachers in class time,1,9
413,We make cakes with butter and wood,0,7
413,We make cakes with butter and fruit,1,7
414,many people will die in war,1,6
414,No one will die in war,0,6
415,he is healthy and always takes medicine,0,7
415,he is ill and always take medicine,1,7
417,People usually fly in the sky,0,6
417,People usually walk in the land,1,6
419,No living thing can live in the sea,0,8
419,some living things can live in the sea,1,8
420,People like to wear wet clothes,0,6
420,People like to wear dry clothes,1,6
421,He is younger than his father,1,6
421,He is older than his father,0,6
422,People can read books in the library,1,7
422,People can speak loudly in the library,0,7
424,human can't live on the sun,1,6
424,human can live on the sun,0,6
425,most fishes can swim,1,4
425,most cats can swim,0,4
426,You might feel irritated when you're stuck in traffic,1,9
426,You might feel happy when you're stuck in traffic,0,9
428,Cats and mice are good friends,0,6
428,Cats like to catch mice,1,5
429,The sea is salty and bitter,1,6
429,The sea is sweet,0,4
430,Fireflies can make light,1,4
430,Fireflies are usually annoying,0,4
431,Flowers have only one color,0,5
431,Flowers have many colors,1,4
432,Hail comes in the warm season,1,6
432,Hail comes in winter,0,4
435,You can't eat sprouted potatoes,1,5
435,you can eat sprouted potatoes,0,5
437,Vitamin C should not be eaten with seafood,1,8
437,Vitamin C can be eaten with seafood,0,7
439,children need eight hours of sleep every day,1,8
439,children need four hours of sleep every day,0,8
440,Ears can smell,0,3
440,Ears can hear sounds,1,4
441,the Football is played by hand,0,6
441,the Basketball is played by hand,1,6
443,Westerners like the number thirteen,0,5
443,Westerners hate the number thirteen,1,5
444,eating fruits is good for health,1,6
444,eating fruits is bad for health,0,6
446,I play football every day because I love playing football,1,10
446,I play football every day because I love playing computer games,0,11
447,"it is rainy, so we can play football outside",0,9
447,"it is sunny, so we can play football outside",1,9
449,Tokyo is in China,0,4
449,Tokyo is in Japan,1,4
451,"I am tired, so I need to go to work",0,10
451,"I am tired, so I need to go to bed",1,10
452,birds live in the ocean,0,5
452,birds live in forests,1,4
453,there are different kinds of trees in the ocean,0,9
453,there are different kinds of trees in the forest,1,9
454,I take a television to school every day,0,8
454,I take a mobile phone to school every day,1,9
